rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
Ashen Victor,Yukito Kishiro,NULL,NULL,Ultra Jump,1,{Viz Media|Shueisha}
Ashita no Joe,Ikki Kajiwara,1968-01-01,1973-05-13,Weekly Shōnen Magazine,20,Kodansha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,2,Kodansha
Ashizuri Suizokukan,NULL,2013-08-30,NULL,NULL,1,NULL
Ask Dr. Rin!,Kiyoko Arai,NULL,NULL,Ciao (magazine),8,Shogakukan
Asobi ni Iku yo!,NULL,{2003-10-25|2010-07-20},{2014-08-23|2015-02-25},Monthly Comic Alive,{10|20},Media Factory
Assassination Classroom,Yūsei Matsui,{2012-07-02|2015-10-02},2016-03-19,{Weekly Shōnen Jump|Saikyō Jump},18,Shueisha
Assemble Insert,Masami Yuki,NULL,NULL,NULL,2,NULL
Astral Project (manga),Marley Carib,NULL,NULL,Comic Beam,4,Enterbrain
Astro Boy,Osamu Tezuka,NULL,NULL,NULL,23,Kobunsha
Astro Fighter Sunred,NULL,2005-12-03,2014-12-19,Gangan Comics,20,Square Enix
Asunaro Hakusho,Fumi Saimon,NULL,NULL,Big Comic Spirits,3,Shogakukan
Asura Cryin',Gakuto Mikumo,{2005-07-25|2008-09-27},{2010-02-10|2010-09-27},Dengeki Daioh,{3|14},ASCII Media Works
Atagoal,Hiroshi_Masumura,NULL,NULL,NULL,10,Asahi Sonorama
Atashin'chi,Eiko_Kera,NULL,NULL,Yomiuri Shimbun,21,Media Factory
Attack No. 1,Chikako_Urano,{1968-01-07|1975-09-14},{1970-11-29|1975-12-14},Margaret (magazine),{2|12},Shueisha
Attack on Titan,Hajime Isayama,{2009-09-09|2012-04-09|2013-08-26|2013-09-28|2015-08-09},{2014-06-28|2014-12-30},{Monthly Shōnen Sirius|Aria (magazine)|Bessatsu Shōnen Magazine|Manga Box},{2|7|8|18},Kodansha
Attack on Titan: Before the Fall,NULL,{2011-12-02|2013-08-26},2012-06-29,Monthly Shōnen Sirius,{3|7},Kodansha
Attack on Titan: Junior High,NULL,2012-04-09,NULL,Bessatsu Shōnen Magazine,9,Kodansha
Attacker You!,{Jun_Makimura|Shizuo_Koizumi},NULL,NULL,NULL,2,Kodansha
Attention Please,Chieko Hosokawa,NULL,NULL,Shōjo Friend,2,Kodansha
Aura: Koga Maryuin's Last War,Romeo Tanaka,2008-07-18,NULL,Shōnen Sunday Super,4,Shogakukan
Author's Pet,Deathco_Cotorino,2008-08-26,NULL,NULL,1,Magazine_Magazine
Aventura (manga),Shin_Midorikawa,2006-04-21,NULL,Monthly Shōnen Sirius,5,Kodansha
Awaken Forest,NULL,2006-03-15,NULL,NULL,1,Taiyo_Tosho
NULL,{Crossnet|Yuushi_Kanoe},2008-03-21,2008-07-23,Monthly Magazine Z,2,Kodansha
Ayako (manga),Osamu Tezuka,1972-01-25,1973-06-25,Big Comic,3,Shogakukan
NULL,NULL,NULL,NULL,Monthly_Comic_Nora,1,Gakken
Azuki-chan,Yasushi Akimoto,NULL,NULL,Nakayoshi,5,Kodansha
Azumanga Daioh,Kiyohiko Azuma,NULL,NULL,Dengeki Daioh,4,{Shogakukan|MediaWorks (publisher)}
Azumi,Yū Koyama,NULL,NULL,Big Comic Superior,48,Shogakukan
B't X,Masami Kurumada,1996-07-20,1997-02-28,Monthly Shōnen Ace,{2|16},Kadokawa Shoten
B-Daman Crossfire,NULL,NULL,NULL,CoroCoro Comic,1,NULL
B-Daman Fireblast,NULL,NULL,NULL,CoroCoro Comic,1,NULL
B.B. (manga),Osamu Ishiwata,NULL,NULL,Weekly Shōnen Sunday,31,Shogakukan
B.B. Explosion,Yasue_Imai,NULL,NULL,Ciao (magazine),5,Shogakukan
B.O.D.Y. (manga),Ao_Mimori,NULL,NULL,Bessatsu Margaret,15,Shueisha
B. Ichi,Atsushi Ōkubo,NULL,NULL,Gangan Comics,4,Square Enix
B Gata H Kei,Yōko_Sanri,NULL,NULL,Weekly Young Jump,9,Shueisha
Babel II,Mitsuteru Yokoyama,2010-02-23,NULL,{Weekly Shōnen Champion|Young Champion|Monthly Shōnen Champion},{1|5|12},Akita Shoten
Baby & Me,Marimo Ragawa,NULL,NULL,Hana to Yume,18,Hakusensha
Baby Birth,Sukehiro Tomita,NULL,NULL,Monthly Magazine Z,2,Kodansha
Baby Love (manga),Ayumi Shiina,NULL,NULL,Ribon,9,Shueisha
Baby Pop,Yayoi_Ogawa,NULL,NULL,Kiss (Japanese magazine),2,Kodansha
Baby Princess,Sakurako Kimino,2009-04-10,2011-05-10,Dengeki G's Magazine,{3|7},ASCII Media Works
Baby Steps,NULL,NULL,NULL,Weekly Shōnen Magazine,38,Kodansha
Baccano!,Ryōgo Narita,{2003-02-10|2006-12-27|2015-10-16},2008-02-27,{Dengeki Comic Gao!|Gangan Comics},{2|21},{Square Enix|ASCII Media Works|MediaWorks (publisher)}
Backstage Prince,Kanoko Sakurakoji,NULL,NULL,Betsucomi,2,Shogakukan
Bad Boys (manga),NULL,NULL,NULL,Young King,22,Shōnen Gahōsha
Bad Company (manga),Tooru Fujisawa,NULL,NULL,Weekly Shōnen Magazine,1,Kodansha
Baito-kun,Hisaichi Ishii,NULL,NULL,NULL,10,Futabasha
Baka and Test,NULL,{2007-01-29|2009-04-25|2009-10-30},{2012-06-22|2015-03-30},Monthly Shōnen Ace,{6|13|18},{Kadokawa Shoten|Enterbrain}
Bakegyamon,NULL,NULL,NULL,Weekly Shōnen Sunday,5,Shogakukan
Baki the Grappler,Keisuke Itagaki,{1999-06-01|2005-12-01|2014-03-20},{2005-11-24|2012-08-16},Weekly Shōnen Champion,{9|31|37|42},Akita Shoten
Baku (manga),Hakase Mizuki,NULL,NULL,Wings (magazine),1,Shinshokan
Baku Tech! Bakugan,NULL,2010-08-15,2014-01-15,CoroCoro Comic,10,Shogakukan
Bakugyaku Familia,NULL,NULL,NULL,Weekly Young Magazine,11,Kodansha
Bakuman,{Tsugumi Ohba|Sei Hatsuno},{2008-08-11|2015-10-02},2012-04-23,Weekly Shōnen Jump,20,Shueisha
Bakumatsu Rock,Shinshu_Ueda,2014-03-28,NULL,Monthly Comic Zero Sum,NULL,Ichijinsha
Bakuon!!,NULL,NULL,NULL,Young_Champion_Retsu,5,Akita Shoten
Bakusō Kyōdai Let's & Go!!,Tetsuhiro_Koshita,NULL,NULL,CoroCoro Comic,{1|13},Shogakukan
Ballad of a Shinigami,K-Ske Hasegawa,{2003-06-10|2005-05-24},{2007-02-10|2009-04-10},{Dengeki hp|LaLa|Dengeki Bunko Magazine|LaLa DX},{3|12},{Hakusensha|ASCII Media Works}
Ballroom e Yōkoso,NULL,NULL,NULL,Monthly Shōnen Magazine,8,Kodansha
Bambi and Her Pink Gun,Atsushi Kaneko,NULL,NULL,Comic Beam,6,Enterbrain
Bambino!,Tetsuji_Sekiya,{2004-12-06|2009-04-06},{2009-02-23|2012-12-17},Big Comic Spirits,{13|15},Shogakukan
Bamboo Blade,NULL,2004-12-03,2010-09-03,Gangan Comics,{1|4|12|14},Square Enix
Banana Fish,Akimi Yoshida,NULL,NULL,Betsucomi,19,Shogakukan
Banner of the Stars,Hiroyuki Morioka,NULL,NULL,NULL,5,NULL
Baoh,Hirohiko Araki,1984-10-09,1985-02-12,Weekly Shōnen Jump,2,Shueisha
Bar Lemon Heart,Mitsutoshi Furuya,NULL,NULL,NULL,30,Futabasha
Bara no Tame ni,Akemi_Yoshimura,NULL,NULL,Petit Comic,16,Shogakukan
Barabanba,Go Nagai,{1983-10-13|1987-04-14},{1984-08-09|1987-11-15},{Comic_Burger|Scola_(magazine)},2,Kodansha
Barairo no Ashita,Ryo Ikuemi,1997-09-13,1999-08-15,Bessatsu Margaret,5,Shueisha
Barakamon,NULL,{2009-02-21|2013-10-12},NULL,Gangan Comics,{4|12},Square Enix
Barefoot Gen,{Keiji Nakazawa|Kyo_Kijima|Kazuma_Yoshimura|Yoshiaki_Fukuma},1973-06-04,NULL,Weekly Shōnen Jump,10,{Kodansha|Shueisha|Iwanami Shoten Publishers|Chuokoron-Shinsha|KyouikuShiryo_Publishing|Azusa_Syuppansya}
Barefoot Waltz,NULL,2006-07-29,NULL,NULL,1,Houbunsha
Baribari Legend,Shuichi Shigeno,NULL,NULL,Weekly Shōnen Magazine,38,Kodansha
Barom-1,Takao Saito,NULL,NULL,Weekly_Bokura_Magazine,2,Kodansha
Barrage (manga),Kōhei Horikoshi,2012-05-21,2012-09-10,Weekly Shōnen Jump,2,Shueisha
Bartender (manga),Araki Joh,{2012-01-04|2013-11-06},NULL,{Super Jump|Grand Jump},{6|21},Shueisha
Basara (manga),Yumi Tamura,NULL,NULL,Betsucomi,27,Shogakukan
Basilisk (manga),NULL,NULL,NULL,Young Magazine Uppers,5,Kodansha
NULL,NULL,2009-01-26,2009-09-26,Monthly Shōnen Ace,2,Kadokawa Shoten
NULL,NULL,2009-04-25,2009-09-26,Monthly Comp Ace,1,Kadokawa Shoten
Bastard!!,Kazushi Hagiwara,NULL,NULL,{Weekly Shōnen Jump|Ultra Jump},27,Shueisha
Batman: Child of Dreams,Kia Asamiya,2000-11-22,2001-11-22,Monthly Magazine Z,2,Kodansha
Bats & Terry,Yasuichi Oshima,NULL,NULL,Weekly Shōnen Magazine,24,{Ichijinsha|Kodansha}
Battle Angel Alita,Yukito Kishiro,1990-12-15,1995-04-01,Business Jump,9,Shueisha
Battle Angel Alita: Last Order,Yukito Kishiro,2000-11-18,2014-01-28,{Ultra Jump|Evening (magazine)},19,{Kodansha|Shueisha}
Battle Athletes,NULL,NULL,NULL,NULL,4,ASCII Media Works
Battle B-Daman,NULL,NULL,NULL,CoroCoro Comic,8,Shogakukan
Battle Club,Yuji Shiozaki,2004-04-28,2006-03-07,Young King,{3|6},Shōnen Gahōsha
Battle Rabbits,Yuki Amemiya,2014-09-28,NULL,Monthly Comic Zero Sum,3,Ichijinsha
Battle Royal High School,NULL,1986-05-18,1989-08-18,NULL,4,Tokuma Shoten
Battle Royale (manga),{Koushun Takami|Hitoshi Tomizawa},2003-12-21,2004-05-27,Young Champion,{2|15},Akita Shoten
NULL,Hajime Yatate,NULL,NULL,Saikyō Jump,3,Shueisha
NULL,Hajime Yatate,NULL,NULL,Kerokero Ace,4,Kadokawa Shoten
NULL,NULL,2009-07-15,NULL,NULL,1,NULL
Batāshi Kingyo,Minetarō Mochizuki,NULL,NULL,Weekly Young Magazine,6,Kodansha
NULL,NULL,2013-11-09,2013-12-09,Bessatsu Shōnen Magazine,NULL,Kodansha
Be-Bop High School,Kazuhiro Kiuchi,NULL,NULL,Weekly Young Magazine,48,Kodansha
Beast Master (manga),Kyousuke Motomi,NULL,NULL,Betsucomi,2,{Shogakukan|Viz Media}
Beast Saga,NULL,2012-08-03,NULL,Saikyō Jump,5,Shueisha
NULL,NULL,1998-06-30,NULL,Comic BomBom,2,Kodansha
Beautiful Bones: Sakurako's Investigation,NULL,NULL,NULL,NULL,8,Kadokawa Shoten
Beautiful People (manga),Mitsukazu Mihara,2001-10-20,NULL,Feel Young,1,Shodensha
Beauty Pop,Kiyoko Arai,NULL,NULL,Ciao (magazine),10,Shogakukan
Beauty is the Beast,Tomo Matsumoto,2003-01-06,2005-03-05,LaLa,5,Hakusensha
Because I'm the Goddess,NULL,2003-11-25,2004-12-24,Comic Gum,3,Wani Books
Beck (manga),Harold Sakuishi,NULL,NULL,Monthly Shōnen Magazine,34,Kodansha
Beelzebub (manga),Ryūhei Tamura,{2008-08-11|2009-02-23},2015-03-13,Weekly Shōnen Jump,28,Shueisha
Beet the Vandel Buster,Riku Sanjo,NULL,NULL,Monthly Shōnen Jump,12,Shueisha
Believers (manga),Naoki Yamamoto,NULL,NULL,Big Comic Spirits,2,Shogakukan
Ben-To,NULL,{2008-02-22|2011-04-21},2014-02-25,Jump Square,{1|15},Shueisha
Bengoshi no Kuzu,Hideo_Iura,NULL,NULL,Big Comic Original,{10|11},Shogakukan
Benkei in New York,Jinpachi_Mori,NULL,NULL,Big Comic Original,1,Shogakukan
Berry Dynamite,Aya Nakahara,2009-05-13,2010-03-15,Bessatsu Margaret,3,Shueisha
Berserk (manga),Kentaro Miura,NULL,NULL,Young Animal,37,Hakusensha
Best Student Council,NULL,NULL,2006-12-27,Dengeki Comic Gao!,3,MediaWorks (publisher)
Beyblade,NULL,NULL,NULL,CoroCoro Comic,14,Shogakukan
Beyblade: Burst,NULL,NULL,NULL,CoroCoro Comic,NULL,Shogakukan
Beyblade: Metal Fusion,Takafumi_Adachi,NULL,NULL,CoroCoro Comic,11,Shogakukan
Beyblade: Shogun Steel,NULL,NULL,NULL,CoroCoro Comic,2,Shogakukan
Beyond My Touch,Tomo_Maeda,NULL,NULL,NULL,1,{Digital Manga|Shinshokan}
Beyond the Beyond (manga),Yoshitomo_Watanabe,NULL,NULL,Monthly Comic Blade,6,{Tokyopop|Chuang Yi|Mag Garden}
Beyond the Boundary,NULL,2012-06-09,NULL,NULL,3,Kyoto Animation
Big Order,Sakae_Esuno,NULL,NULL,Monthly Shōnen Ace,8,Kadokawa Shoten
Big Windup!,Asa Higuchi,NULL,NULL,Monthly Afternoon,25,Kodansha
Big X,Osamu Tezuka,NULL,NULL,Shōnen Book,4,Shueisha
Billy Bat,Naoki Urasawa,2008-10-16,NULL,Weekly Morning,18,Kodansha
Binbō Shimai Monogatari,Izumi Kazuto,NULL,NULL,Monthly Sunday Gene-X,4,Shogakukan
Binchō-tan (manga),Takahito_Ekusa,NULL,NULL,{Monthly Comic Blade|Megami Magazine},4,{Mag Garden|Gakken}
Binetsu Shōjo,Kaho Miyasaka,NULL,NULL,Shōjo Comic,10,Shogakukan
Bio Booster Armor Guyver,Yoshiki Takaya,1985-02-18,NULL,{Monthly Shōnen Ace|Young Ace|Kadokawa Shoten|Tokuma Shoten},31,{Kadokawa Shoten|Tokuma Shoten}
Bio Hunter,Fujihiko Hosono,NULL,NULL,NULL,1,NULL
Biomega (manga),Tsutomu Nihei,NULL,NULL,Ultra Jump,6,Shueisha
Birdman Anthology,Osamu Tezuka,NULL,NULL,SF Magazine,2,Hayakawa_Publishing_Corporation
Birdy the Mighty,Masami Yuki,NULL,NULL,{Big Comic Spirits|Weekly Young Sunday|Shōnen Sunday Super},{1|13|20},Shogakukan
Bitter Virgin,Kei Kusunoki,NULL,NULL,Gangan Comics,4,Square Enix
Black Bird (manga),Kanoko Sakurakoji,2007-01-26,2013-03-26,Betsucomi,18,Shogakukan
Black Blood Brothers,NULL,{2004-07-16|2007-02-01},2006-05-20,NULL,{1|11},{Kadokawa Shoten|Fujimi Shobo}
Black Bullet,NULL,{2011-07-10|2012-08-27},2014-06-27,Dengeki Maoh,{4|7},ASCII Media Works
Black Butler,Yana Toboso,2006-09-16,NULL,Gangan Comics,21,Square Enix
Black Cat (manga),Kentaro Yabuki,{2000-07-10|2003-03-10},{2004-06-14|2005-10-24},Weekly Shōnen Jump,20,Shueisha
Black Gate (manga),Yukiko Sumiyoshi,2007-03-01,2008-05-01,NULL,3,Enterbrain
Black God (manga),Lim Dall-young,NULL,NULL,Gangan Comics,19,Square Enix
Black Jack (manga),Osamu Tezuka,{1973-11-19|2005-05-09},{1983-10-14|2006-02-09},Weekly Shōnen Champion,{3|17},Akita Shoten
Black Joke (manga),NULL,NULL,NULL,Young Champion,9,NULL
Black Knight (manga),Kai_Tsurugi,2003-08-05,2005-10-08,NULL,4,Libre Publishing
Black Lagoon,{Rei Hiroe|Gen Urobuchi},{2002-04-19|2008-07-18},NULL,Monthly Sunday Gene-X,10,Shogakukan
Black Magic (manga),Masamune Shirow,1983-02-25,NULL,NULL,1,Dark Horse Comics
NULL,NULL,NULL,NULL,Young Ace,3,Kadokawa Shoten
NULL,NULL,NULL,NULL,Comptiq,2,Kadokawa Shoten
NULL,NULL,NULL,NULL,NULL,1,Kadokawa Shoten
Black Rose Alice,Setona Mizushiro,NULL,NULL,Princess (magazine),6,{Viz Media|Akita Shoten}
Black Sun Silver Moon,Tomo_Maeda,2001-07-26,2006-02-25,Wings (magazine),7,Shinshokan
Black Sun (manga),Uki_Ogasawara,NULL,NULL,NULL,2,Taiyoh_Tosho
Blade of the Immortal,Hiroaki Samura,{1993-06-25|2008-07-18},2012-12-25,Monthly Afternoon,30,Kodansha
Blade of the Phantom Master,Youn In-wan,NULL,NULL,{Monthly Sunday Gene-X|Young_Champ},17,{Shogakukan|Daewon C.I.}
Bladedance of Elementalers,NULL,2010-12-24,NULL,Monthly Comic Alive,{4|14},Media Factory
Blame!,Tsutomu Nihei,2008-03-21,NULL,{Monthly Afternoon|Morning_Extra_(magazine)},{1|10},Kodansha
Blank Slate (manga),Aya Kanno,2005-09-16,2006-06-19,Bessatsu Hana to Yume,2,Hakusensha
NULL,NULL,2008-07-01,NULL,NULL,NULL,Kadokawa Shoten
NULL,Noboru_Kimura,2007-11-19,NULL,Champion Red,3,Akita Shoten
Blast of Tempest,NULL,NULL,NULL,Gangan Comics,10,Square Enix
Blazer Drive,Seishi Kishimoto,2008-04-04,2010-12-29,Monthly Shōnen Rival,9,Kodansha
Bleach (manga),Tite Kubo,2001-08-07,NULL,Weekly Shōnen Jump,70,Shueisha
NULL,NULL,2006-05-01,2007-05-01,NULL,4,Kadokawa Shoten
NULL,NULL,2006-05-01,2006-09-01,NULL,2,Kadokawa Shoten
NULL,NULL,2005-12-26,2007-04-26,Monthly Shōnen Ace,5,Kadokawa Shoten
NULL,NULL,2006-04-26,2006-12-26,NULL,2,Kadokawa Shoten
NULL,NULL,2006-04-26,NULL,NULL,1,Kadokawa Shoten
NULL,Nanase Ohkawa,NULL,NULL,Monthly Shōnen Ace,4,Kadokawa Shoten
NULL,Mamoru Oshii,NULL,NULL,NULL,NULL,Kadokawa Shoten
NULL,NULL,NULL,NULL,NULL,NULL,Kadokawa Shoten
NULL,NULL,NULL,NULL,NULL,NULL,Kadokawa Shoten
NULL,Benkyo Tamaoki,NULL,NULL,Monthly_Ace_Next,NULL,Kadokawa Shoten
Blood Alone,Masayuki_Takano,NULL,NULL,Dengeki Daioh,10,{MediaWorks (publisher)|Kodansha}
Blood Blockade Battlefront,Yasuhiro Nightow,NULL,NULL,Jump Square,10,Shueisha
Blood Honey,Sakyou_Yozakura,NULL,NULL,NULL,1,Gentosha
Blood Hound (manga),Kaori Yuki,NULL,NULL,Hana to Yume,1,Hakusensha
Blood Lad,NULL,{2009-09-04|2012-09-25|2013-07-01},NULL,Young Ace,{1|2|15},Kadokawa Shoten
Blood Reign: Curse of the Yoma,Kei Kusunoki,NULL,NULL,Ribon Original,1,Shueisha
Blood Sucker (manga),NULL,NULL,NULL,Comic Birz,12,Gentosha
Bloody Kiss,Kazuko_Furumiya,NULL,NULL,Hana to Yume,2,Hakusensha
Bloody Monday (manga),Shin Kibayashi,2011-07-14,NULL,Weekly Shōnen Magazine,{4|8|11},Kodansha
Bludgeoning Angel Dokuro-Chan,NULL,NULL,NULL,{Dengeki Comic Gao!|Dengeki hp|Dengeki Maoh},{3|11},MediaWorks (publisher)
Blue (manga),Kiriko Nananan,NULL,NULL,COMIC_Are!,1,Magazine_House
Blue Drop,Akihito Yoshitomi,{2004-06-27|2007-02-19|2007-06-05|2007-12-26|2008-05-23},{2005-12-27|2007-10-05|2008-01-19|2008-05-21|2008-06-27},Dengeki Comic Gao!,{1|2|6},{MediaWorks (publisher)|Akita Shoten}
Blue Exorcist,NULL,2009-04-04,NULL,Jump Square,{10|16},Shueisha
Blue Friend (manga),NULL,NULL,NULL,Ribon,3,NULL
NULL,Ryōsuke Takahashi,NULL,NULL,NULL,1,Kadokawa Shoten
Blue Heaven (manga),Tsutomu Takahashi,NULL,NULL,Weekly Young Jump,3,Shueisha
Blue Hole (manga),Yukinobu Hoshino,1991-08-08,NULL,Mr._Magazine,2,{Kodansha|Scholar_(company)}
Blue Inferior,Kyoko_Shito,NULL,NULL,Kibou_Comics,4,Kadokawa Shoten
Blue Seed,Yuzo Takada,NULL,NULL,Comic_Ganma,2,Takeshobo
Blue Sheep Reverie,Makoto Tateno,2006-08-28,NULL,NULL,6,Nihon Bungeisha
Blue Sky (manga),Yuko_Kuwabara,2007-02-10,NULL,NULL,1,{Digital Manga|Libre Publishing}
Blue Sonnet,NULL,NULL,NULL,Hana to Yume,19,Hakusensha
Blue Spring (manga),Taiyō Matsumoto,NULL,NULL,NULL,1,Shogakukan
Blue Spring Ride,Io Sakisaka,{2011-01-13|2011-12-27},2015-02-13,Bessatsu Margaret,{5|13},{Cobalt (magazine)|Shueisha}
Blue Submarine No. 6,NULL,1967-01-08,1967-11-05,Weekly Shōnen Sunday,{3|5},Shogakukan
Bobobo-bo Bo-bobo,Yoshio Sawai,2005-12-19,{2005-11-14|2007-07-02},Weekly Shōnen Jump,{7|21},Shueisha
Bodacious Space Pirates,{Yūichi Sasamoto|Tatsuo Satō (director)},{2012-06-02|2013-12-27},{2012-12-03|2014-09-27},Monthly Comic Alive,{1|2|12},{Asahi Shimbun|Media Factory}
Bogle (manga),Yuko_Ichiju,2002-02-06,2003-04-05,Princess (magazine),3,Akita Shoten
Bokko (manga),Sentarō_Kubota,NULL,NULL,Big Comic,11,Shogakukan
Boku Dake ga Inai Machi,Kei Sanbe,{2012-06-04|2016-06-04},2016-03-04,Young Ace,7,Kadokawa Shoten
Boku wa Imōto ni Koi o Suru,Kotomi Aoki,{2003-05-26|2005-12-20},{2005-08-26|2008-08-26},Shōjo Comic,{10|12},Shogakukan
Bokurano: Ours,{Mohiro Kitoh|Renji_Ōki},{2003-11-25|2007-05-24},{2008-06-18|2009-06-25},Monthly Ikki,{5|11},Shogakukan
Bomba!,Osamu Tezuka,NULL,NULL,Bessatsu Shōnen Magazine,1,Kodansha
Bomber Girl,Makoto Niwano,NULL,NULL,{Weekly Shōnen Jump|Young King|Young Comic},{1|3},{Shueisha|Shōnen Gahōsha}
Bomberman B-Daman Bakugaiden,NULL,1997-04-01,1999-02-24,CoroCoro Comic,4,Shogakukan
Bomberman B-Daman Bakugaiden V,Koichi_Mikata,NULL,NULL,CoroCoro Comic,NULL,Shogakukan
Bomberman Jetters,NULL,NULL,NULL,CoroCoro Comic,NULL,Shogakukan
Bond(z),Toko_Kawai,2003-12-20,NULL,NULL,1,{Digital Manga|Libre Publishing}
Bondage Fairies,Teruo Kakuta,NULL,NULL,NULL,1,Fantagraphics Books
Bonk (video game series),NULL,NULL,NULL,NULL,1,Shogakukan
Bonobono,Mikio Igarashi,NULL,NULL,{Manga Life|Manga_Club},40,Takeshobo
Boogiepop Dual: Losers' Circus,Kouhei Kadono,NULL,NULL,Dengeki Daioh,2,MediaWorks (publisher)
Boogiepop and Others,{Kouhei Kadono|Kōji Ogata},1998-02-25,NULL,Dengeki Daioh,2,{Seven Seas Entertainment|MediaWorks (publisher)}
Book Girl,Mizuki Nomura,{2006-04-28|2008-12-10},2011-04-30,{Gangan Comics|Monthly Asuka},{1|2|3|4|16},{Square Enix|Yen Press|Kadokawa Shoten|Enterbrain}
Bow Wow (manga),NULL,1992-07-15,1999-12-01,Big Comic Superior,11,Shogakukan
Bow Wow Wata,NULL,2001-11-09,2004-05-27,{Weekly Comic Bunch|Comic Rex},{5|11},{Shinchosha|Ichijinsha|Coamix}
Bowling King,NULL,NULL,NULL,NULL,24,Akane Shinsha
Boy's Next Door,Kaori Yuki,NULL,NULL,Hana to Yume,1,Hakusensha
Boyfriend (manga),Fuyumi Soryo,1985-11-26,1988-04-23,Shōjo_Comics,10,Shogakukan
Boys'n Girl,Kei_Yasunaga,NULL,NULL,Bessatsu Friend,5,Kodansha
Boys Be...,NULL,NULL,NULL,Weekly Shōnen Magazine,{6|20|32},Kodansha
Boys Esté,Souko_Masaki,2004-06-11,2007-11-13,NULL,7,Kodansha
Boys Love (manga),Kaim_Tachibana,NULL,NULL,NULL,1,{Digital Manga|Shinshokan}
Boys Over Flowers,Yoko Kamio,NULL,NULL,Margaret (magazine),37,{Viz Media|Shueisha}
Boys Over Flowers Season 2,Yoko Kamio,2015-02-15,NULL,Weekly Shōnen Jump,NULL,Shueisha
Boys on the Run,Kengo Hanazawa,2005-11-30,2008-06-30,Big Comic Spirits,10,Shogakukan
NULL,Yoshiyuki Tomino,1998-12-15,1999-02-13,NULL,3,NULL
NULL,Yoshiyuki Tomino,NULL,NULL,Monthly Shōnen Ace,4,Kadokawa Shoten
Brave 10,NULL,2011-06-15,NULL,{Monthly Comic Gene|Monthly Comic Flapper},{4|8},Media Factory
Brave Dan,Osamu Tezuka,1962-07-15,1962-12-23,Weekly Shōnen Sunday,1,Shogakukan
Brave Story,Miyuki Miyabe,{1999-11-11|2004-04-09},{2001-02-13|2008-05-09},Weekly Comic Bunch,20,{Shinchosha|Kadokawa Shoten}
Break Shot,Ironfist Chinmi,NULL,NULL,Weekly Shōnen Magazine,16,Kodansha
Bride of Deimos,Etsuko_Ikeda,NULL,NULL,Princess (magazine),17,Akita Shoten
NULL,Nozomi_Watase,NULL,NULL,Monthly Shōnen Ace,2,Kadokawa Shoten
Brilliant Blue (manga),Saemi_Yorita,2004-06-30,2005-07-30,NULL,2,{Digital Manga|Shinshokan}
Brilliant Magic,Yukino_Miyawaki,NULL,2003-01-25,Ciao (magazine),3,Shogakukan
Broken Angels (manga),Setsuri_Tsuzuki,NULL,NULL,Monthly Asuka,5,Kadokawa Shoten
Broken Blade,NULL,2007-04-10,NULL,NULL,14,Flex Comix
Brother (manga),Yuzuha_Ougi,NULL,NULL,Gush_(magazine),2,{DramaQueen|Kaiōsha}
Brothers Conflict,NULL,{2010-12-22|2013-01-22},2012-07-21,Sylph (magazine),{2|3|7},ASCII Media Works
Brynhildr in the Darkness,Lynn Okamoto,NULL,NULL,Weekly Young Jump,14,Shueisha
Btooom!,NULL,2009-06-19,NULL,Weekly Comic Bunch,19,Shinchosha
Buddha (manga),Osamu Tezuka,NULL,NULL,NULL,{8|14},NULL
NULL,NULL,2014-01-27,2014-10-27,Dengeki Daioh,2,ASCII Media Works
NULL,NULL,2014-01-27,2014-08-27,Dengeki Maoh,1,ASCII Media Works
Bungō Stray Dogs,NULL,2014-04-01,NULL,Young Ace,{3|9},Kadokawa Shoten
Bunny Drop,NULL,NULL,NULL,Feel Young,{1|9},Shodensha
NULL,Oh! great,NULL,NULL,NULL,1,NULL
NULL,NULL,NULL,NULL,Dengeki Comic Gao!,3,MediaWorks (publisher)
Burst Ball Barrage!! Super B-Daman,NULL,NULL,NULL,CoroCoro Comic,15,Shogakukan
Bus Gamer,Kazuya Minekura,NULL,NULL,Comic Rex,1,Ichijinsha
Buso Renkin,Nobuhiro Watsuki,{2003-06-23|2006-10-30},{2005-04-25|2007-05-25},Weekly Shōnen Jump,{2|10},Shueisha
Busou Shinki,Konami,NULL,NULL,Monthly Comic Blade,5,ASCII Media Works
Butsu Zone,Hiroyuki Takei,NULL,NULL,Weekly Shōnen Jump,3,Shueisha
Butterflies Flowers,Yuki_Yoshihara,2006-02-24,2009-03-10,Petit Comic,8,Shogakukan
Buzzer Beater (manga),Takehiko Inoue,NULL,NULL,{Comic Champ|Webcomic},4,Shueisha
By the Sword (manga),Sanami Matoh,NULL,NULL,NULL,3,{Libre Publishing|Akita Shoten}
Bōken Shōnen,Mitsuru Adachi,NULL,NULL,Big Comic Original,1,Shogakukan
C.M.B. (manga),Motohiro Katou,NULL,NULL,Monthly Shōnen Magazine,29,Kodansha
C3 (light novel),{Hazuki_Minase|Tsukako_Akina},{2007-09-10|2011-02-26},{2013-01-26|2013-06-07},Dengeki Daioh,{3|17},ASCII Media Works
NULL,Go Nagai,1992-01-01,NULL,Comic_Sankei,NULL,Sankei_Shinbunsha
